Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Peak AI,Pune,5 - 7 ,"Open - excellent verbal and written communication skills, including the ability to clearly communicate complex information to those in other disciplines.…",154,5,7,6.0
Maruti Suzuki India Ltd,Bengaluru,7 - 9 ,Collaborate with different MSIL Departments for their data requests & build solutions that automate their daily tasks thereby saving man hours.…,144,7,9,8.0
Oracle,Bengaluru,5 - 8 ,We are part of OHAI Platform Data Science team working on diverse healthcare solutions to improve our healthcare products and deliver better patient care.…,155,5,8,6.5
UNESCO,New Delhi,5 - 9 ,Please note that only selected candidates will be further contacted and candidates in the final selection step will be subject to reference checks based on the……,161,5,9,7.0
Cognizant Technology Solutions,Pune,4 - 5 ,3 Identify and develop action plan in coordination with the TL for activities not meeting the client SLAs. Serve as an SME to Medical Reviewers regarding coding……,162,4,5,4.5
BNP Paribas,Mumbai,6 - 8 ,Manage the local Mumbai data science team. Deliver and maintain proper code following the LAB and Light IT guidelines and best practices of DevOps and MLOps.…,158,6,8,7.0
Growth Hub Consultants,New Delhi,4 - 7 ,These reports will further help us in taking appropriate decisions and provide direction to make better business decisions.…,124,4,7,5.5
Proclink,Ahmedabad,3 - 8 ,Experience of working with clients in financial services vertical is preferable. Ability to create decks for client presentations.…,131,3,8,5.5
Gigmo Solutions,Gurgaon,4 - 6 ,We are looking for an experienced Data Manager to oversee the development and use of data systems. Formulate techniques for quality data collection to ensure……,159,4,6,5.0
Acuity Knowledge Partners,Bengaluru,6 - 9 ,Act as a single point of contact for the various stakeholders from the client’s investment research business. Learn/apply cloud-driven transformative changes in……,162,6,9,7.5
Inventics,Lucknow,3 - 5 ,"Bachelor's degree in computer science, information science, or similar. Implementing effective security protocols, data protection measures, and storage……",154,3,5,4.0
RealPage India,Hyderābād,8 - 9 ,"Stay Updated: Keep up to date with the latest Power BI features, best practices, and industry trends to continuously improve the quality and efficiency of data……",161,8,9,8.5
RARR Technologies Pvt Ltd,Remote,29 ,Familiarity with data modeling and schema design. Strong understanding of data warehousing concepts and ETL processes.…,119,29,29,29.0
Pluralsight,Bengaluru,20 - 34 ,Stay active with our wellness program that allows you to expense your gym membership and other sports activities. *Good Experience with Kafka is required*.…,156,20,34,27.0
"Medpace, Inc.",Thāne,5 - 8 ,"General knowledge of clinical trial processes and/or experience working with clinical data. Our corporate activities are growing rapidly, and we are currently……",160,5,8,6.5
Veniso Solutions,Hyderābād,3 - 6 ,Present information using data visualization tools. Graduate in the fields of computer science or engineering or degree in data science is preferred.…,150,3,6,4.5
Think Future Technologies,Gurgaon,5 - 6 ,"3+ years of experience in the field of Data Science. Good hands on knowledge on Python. Good understanding on on models like Time Series, Computer Vision,……",156,5,6,5.5
M3USA,Bengaluru,4 - 6 ,"Resolve queries where possible & help to improve quality of the data,. Able to use a browser and basic business software (i.e., Excel).…",136,4,6,5.0
JLL,Bengaluru,7 - 8 ,"Identify opportunities for data improvement: whether there's a data point missing, queries that are running slowly, or metrics that don't look quite right, and……",161,7,8,7.5
Pivotchain Solution Technologies,Pune,5 - 8 ,"You are comfortable processing, cleansing, and verifying the integrity of data used for analysis. Past experience with Deep Learning/NLP would be an advantage ……",161,5,8,6.5
Brainlabs,Bengaluru,3 - 7 ,"Lead all phases of product development, from capability definition and business solution design to data structuring, machine learning, and communicating……",154,3,7,5.0
Energy Exemplar,Pune,7 - 8 ,Work together with data analysts and data scientists to wrangle the data and provide quality datasets and insights to business-critical decisions.…,147,7,8,7.5
Retisio,Bengaluru,6 - 7 ,Make sure you have the below fields mentioned in the body of the email along with an attached resume and send email to hr@retisio.com. What you will be doing:…,159,6,7,6.5
Emorphis Technologies,Indore,3 - 9 ,"Total work: 3 years (Required). Strong working knowledge in Deep learning and ML Algorithms. Strong working knowledge in Tensor Flow, Sci-kit Learn, KERAS,……",157,3,9,6.0
HOME INTEL INDIA PRIVATE LIMITED,Chennai,4 - 7 ,Data science: 3 years (Required). 2+ years of experience with data science. Utilize data science knowledge and experience to provide the right solution……,153,4,7,5.5
PayU,Bengaluru,7 - 9 ,"Experience in working as a Big Data Engineer (Apache Spark, Hadoop ecosystem, Apache Kafka) : query tuning, performance tuning, troubleshooting, and debugging……",160,7,9,8.0
Irizpro Learning Solutions,India,25 - 30 ,Relevant industry experience and certifications are sought but not mandatory. DA trainer will be working as a *subject matter expert and facilitator-trainer*……,159,25,30,27.5
Bristol Myers Squibb,Hyderābād,3 - 8 ,Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.…,141,3,8,5.5
Xenneo Technology,Noida,15 - 20 ,"Partner with business domain experts, system analysts, data/application architects, and engineering teams to ensure data design is aligned with business……",154,15,20,17.5
Thermo Fisher Scientific,Bengaluru,7 - 8 ,"Familiarity with the use of spreadsheets, retrieval of data from web/data repositories, MS software, and image processing software is desired.…",143,7,8,7.5
The Modern Dimension,Bengaluru,5 - 8 ,Manage the continuous improvement of data science and machine learning by following industry best practices and staying up-to-date with and extending the state……,161,5,8,6.5
The Economist Group LTD,Gurgaon,4 - 8 ,"Bachelor’s degree or higher in economics, public policy/administration, quantitative fields, social sciences or related fields.…",128,4,8,6.0
Epsilon,Bengaluru,9 - 10 ,"The Manager, Data Science is responsible for delivery from multiple client accounts by working with Data Scientists and managing analytic initiatives from……",156,9,10,9.5
Place Technology,Jaipur,5 - 7 ,"The role of the Data Engineer is to build systems that collect, manage, and convert raw data into usable information for data scientists and business analysts……",160,5,7,6.0
ASSPL - Karnataka,Bengaluru,4 - 9 ,"As a Data Scientist in the team, you will be driving the analytics roadmap and will provide descriptive and predictive solutions to the development and business……",162,4,9,6.5
Seagate Technology,Pune,7 - 10 ,Excellent technical skills with a proven and successful history working with data at scale and empowering organizations through data.…,134,7,10,8.5
KVCH,Noida,25 - 35 ,"We are looking to hire a *Data Science Trainer*. Candidate must have knowledge in *Data Science, ML, AI, Python, Advance Excel, VBA* , etc.…",140,25,35,30.0
Shiro Software Solutions,Nagercoil,90 ,"Currently enrolled in a bachelor's or master's program in computer science, data science, engineering, or a related field. Total work: 1 year (Preferred).…",155,90,90,90.0
GLOBALFOUNDRIES,Bengaluru,2 - 4 ,"Bachelor's degree in data science, data analytics, computer science, or other related engineering. Provide training and documentation on data analytic solutions……",162,2,4,3.0
NEXTracker,Hyderābād,2 - 3 ,We're happy to provide reasonable accommodations to those with a disability for assistance in the recruitment process.…,119,2,3,2.5
Cellworks Research India,Bengaluru,4 - 7 ,"Study and transform data science prototypes . Select appropriate data sets and data representation methods. Understanding of data structures, data modeling and……",161,4,7,5.5
Doyensys,Chennai,5 - 7 ,"Learning and Development: Stay updated with the latest database technologies, tools, and industry trends to continuously improve your skills.…",142,5,7,6.0
Business Brio,Calcutta,3 - 8 ,"The person should interact directly with senior-level business executives of the client organization and understand the business requirements, collate,……",153,3,8,5.5
Fractal Analytics,Bengaluru,7 - 10 ,"If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us! We’re building an incredible function from the.…",159,7,10,8.5
Zessta,Hyderābād,4 - 7 ,"If you feel you are fit to be a part of this environment, write to us today at careers@zessta.com. Our passion lies in building solutions that modernize……",154,4,7,5.5
Gartner,Gurgaon,9 ,Drive retention and growth by empowering service delivery groups and sales in some of our key initiatives. This team works on delivering valuable insights from……,161,9,9,9.0
Knoldus,Indore,6 - 8 ,"Collaboration: Collaborate with cross-functional teams, including data scientists, software developers, and domain experts to develop AI solutions that meet……",158,6,8,7.0
CDM Smith,Bengaluru,6 - 10 ,"CDM Smith will conduct interviews of qualified individuals prior to requesting a criminal background check, and no job application submitted prior to such……",156,6,10,8.0
Yara,Pune,5 - 6 ,To workout best value chain partners of the area/crop in the region and to develop good coordination with them to promote Yara business.…,137,5,6,5.5
Indeed,Bengaluru,42 - 63 ,"If you are requesting accommodation for an interview, please reach out at least one week in advance of your interview. Python Programming: 3 years (Required).…",159,42,63,52.5
Interserve solutions Pvt.Ltd,Mohali,30 - 60 ,*Stay Current:* Keep abreast of SuiteCRM/SugarCRMupdates and industry best practices to ensure our CRM system remains cutting-edge.…,132,30,60,45.0
CodiniX,Noida,3 - 7 ,Collaborate with cross-functional teams to identify business challenges and design data-driven solutions. Stay current with industry trends and contribute to……,159,3,7,5.0
indeed,Hyderābād,29 - 44 ,"2+ years of software development experience in a combination of developing web applications with modern JavaScript frameworks (React, Angular, Vue), developing……",161,29,44,36.5
Alpha ICT,Pune,4 - 8 ,"To complement and complete our offerings and enable our customers to monetize their investments in IoT, we are looking for experienced data scientists.…",152,4,8,6.0
UST,Cochin,4 ,"Good understanding and Knowledge on the Data concpets and data mapping Design and implement data modeling solutions using relational, dimensional, and NoSQL……",158,4,4,4.0
Acies Global,Chennai,81 - 2 ,"Experience with common data science toolkits. You will discover the information hidden in vast amounts of data, and help clients make.…",135,81,2,41.5
Athena Global Technologies,Hyderābād,5 - 8 ,"Minimum education: Bachelor’s degree in informatics, Computer Science, Information Systems, or something relevant. Understand DDL, DML, PLSQL queries.…",151,5,8,6.5
Factspan,Bengaluru,6 - 8 ,Job Details Job Category: Data Analytics Job Type: Full Time Job Location: Bangalore Designation: Principal Analyst Department: Delivery Experience: 8-10……,155,6,8,7.0
Xpheno,Bengaluru,3 - 6 ,Involded in Data science project. Should have exp in stakeholder mang. Exp in python and SQL. Exp in probability and statistical analyses.…,139,3,6,4.5
Bi3 Technologies India Pvt Ltd,India,10 - 20 ,➢ Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.…,158,10,20,15.0
TransUnion,Pune,7 - 10 ,This role requires that you perform an array of data analysis and other advanced statistical analysis techniques to understand client business environments to……,160,7,10,8.5
Deloitte,Hyderābād,4 - 9 ,The team drives the implementation of end-to-end solutions and analysis that provide our clients and leadership with the consumable information and insight they……,162,4,9,6.5
Vedita Ventures,Mumbai,9 - 12 , Participation in the design implementations and evaluation of research studies.  Content research executive play a vital role in TT group’s business model……,159,9,12,10.5
Gartner,Gurgaon,9 ,Create a strategy and overall vision for where and how data science can further develop scaled insights that increase client value and retention through……,154,9,9,9.0
Priceline.com,Mumbai,6 - 8 ,"As a data engineer you will be working on data systems that serve and generate billions of events every single day. Bachelor of Computer Science, Engineering.…",159,6,8,7.0
Databricks,Bengaluru,6 - 10 ,"Collaboration: The role that the Data Engineer plays is collaborative and, as such, works with data analysts, data scientists, and other data consumers within……",160,6,10,8.0
Travitons Technologies,Pune,3 - 8 ,"To be successful as a tableau developer, you should have a broad understanding of the business technology landscape, the ability to design reports, and strong……",160,3,8,5.5
Mobio Solutions Pvt. Ltd.,Remote,11 ,Stay up-to-date with industry best practices and emerging trends in ETL and data warehousing. Perform data analysis to identify and address data quality issues.…,161,11,11,11.0
Episeio business solutions,Bengaluru,30 - 35 ,"Developing statistical, machine learning, or mathematical solutions to rigorously test and optimize automated business solutions. Your first 30-60-90 days plan:…",161,30,35,32.5
QRight Solutions,Chennai,25 ,Align the data products with the business goals. Ensure data quality and integrity. Interpret and analyze data problems. Visualize data and create reports.…,156,25,25,25.0
Kanini Software Solutions,Chennai,5 - 6 ,"As a Data Scientist, you will be developing and deploying scalable and reproducible data science models for solving a variety of business problems.…",148,5,6,5.5
Hitachi Solutions,Bengaluru,9 - 10 ,Senior Data Engineers are responsible for delivering high quality modern data solutions through collaboration with our team and our customers.…,143,9,10,9.5
CoffeeBeans Consulting,Bengaluru,5 - 8 ,We also offer data-driven solutions and AI-based products for businesses operating in a wide range of product categories and service domains.…,142,5,8,6.5
NielsenIQ,Mumbai,6 - 8 ,1 to 3 years of experience. Recharge and revitalize with help of wellness plans made for you and your family. Ensuring service availability and meeting SLAs.…,158,6,8,7.0
Airtel India,Gurgaon,4 - 6 ,Develop an in-depth understanding of user journeys on Airtel Digital Channels and generate data driven insights & recommendations to help product business in……,159,4,6,5.0
Porter,Bengaluru,8 ,Deliver end-to-end data science solutions on business problems identified. Partner with senior team members to assess customer needs and define business……,154,8,8,8.0
Orage Technologies,Noida,60 - 1 ,"As a key member of our cybersecurity team, you will perform thorough penetration testing, focusing on Burp Suite and data manipulation techniques and provide……",159,60,1,30.5
XL Catlin,Gurgaon,3 - 4 ,"As we develop a Global Claims data and analytics strategy that moves us toward a greater focus on the use of data and data-driven insights, we are seeking a……",158,3,4,3.5
Course5,Bengaluru,4 - 5 ,"Under our Course5 Intelligence suites that combine analytics, digital, and research solutions to provide. Stay up to date with the latest advancements in data……",160,4,5,4.5
SS Supply Chain Solutions,Bengaluru,10 - 35 ,Present information using data visualization techniques. Able to understand various data structures and common methods in data transformation.…,143,10,35,22.5
Yara,Bengaluru,5 - 9 ,"Familiarity with data warehousing, data marts, and data modelling concepts. 1-2 years’ experience in working with databases, particularly PostgreSQL, MongoDB,……",160,5,9,7.0
Nimas College,Bārāsat,80 - 1 ,"BTECH , MTECH, MCA ,MSC IN DATA SCIENCE. Job Types: Part-time, Permanent. Total work: 1 year (Preferred).…",106,80,1,40.5
Mastercard,Pune,2 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……",160,2,2,2.0
Jet2 Travel Technologies,Pune,5 - 10 ,Develop and maintain data pipelines to ensure high quality data availability for key data science and analytics projects for Jet2 business.…,140,5,10,7.5
Maersk,Pune,6 - 8 ,Conducting customer/user satisfaction call-backs/surveys as agreed including deep dive analysis on Dissatisfied survey responses.…,130,6,8,7.0
Epsilon,Bengaluru,2 - 3 ,"She / He also must have excellent verbal and written communication skills and be comfortable working in an entrepreneurial, ‘startup’ environment within a……",156,2,3,2.5
CDSL,Mumbai,2 - 8 ,"Exposure of working with Market Infrastructure Institution (MII) or large Depository Participant/stock broker, business critical financial market institution……",159,2,8,5.0
crutz leela,Noida,20 - 25 ," Develop best practices for data science, considering the full analytical lifecycle.  Manage and guide data science and data engineering elements of AI……",155,20,25,22.5
eScript,Ahmedabad,6 - 8 ,"As an AI Specialist, you will be responsible for designing, developing, and implementing an advanced system capable of reading PDF documents and converting them……",162,6,8,7.0
TEKSUN,Ahmedabad,3 - 6 ,Exploring and visualizing data to gain an understanding of it. To study and convert data science prototypes. Defining data augmentation to increase the existing……,162,3,6,4.5
Arista Networks,Pune,5 - 6 ,"Our switches and routers are the backbone of large data centres that host Microsoft Azure, Google Cloud, Facebook etc. Knowledge of Python or R and SQL.…",153,5,6,5.5
"Frequence, Inc.",Pune,4 - 8 ,We don't just want to create intuitive AdTech tools—we want to foster a culture of openness and inclusivity that encourages our employees to think bigger and……,159,4,8,6.0
CogniSure,Bengaluru,3 - 7 ,"At CogniSure, you’ll collaborate with accomplished, motivated colleagues and innovative clients alike as we work to bring cutting-edge data science……",149,3,7,5.0
Sorigin Group,Pune,4 - 8 ,Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop). Identify valuable data sources and automate collection processes.…,161,4,8,6.0
Maruti Suzuki India Ltd,Bengaluru,4 ,Essential:  Must have minimum of 3 years of industry experience in developing data science models.  At least 3 years of industry experience in one or more……,158,4,4,4.0
FiftyFive Technologies,Jaipur,7 - 10 ,This role is crucial for the development of high-quality software solutions focusing on Python programming with an emphasis on FastAPI for creating efficient……,159,7,10,8.5
Novo Nordisk,Bengaluru,6 - 7 ,"Further, develop, maintain, test, and evaluate data solutions within organizations what the data scientists and the data stewards have defined.…",144,6,7,6.5
IntegriChain,Pune,6 - 10 ,"Define, document, and maintain a data dictionary including: data definitions, data sources, business meaning and usage of information.…",135,6,10,8.0
String Bio,Bengaluru,5 - 8 ,Propose solutions and strategies to data architecture. Presenting information using data visualization techniques. Analytical mind and business acumen.…,152,5,8,6.5
Mango Sciences,Bengaluru,5 - 8 ,Up to date with recent developments in deep/machine learning and are familiar with current trends in the wider data science communi.…,133,5,8,6.5
MathCo,Bengaluru,5 - 7 ,"For those with an undergraduate degree in non-technical fields, relevant prior work experience and technical aptitude will be important.…",137,5,7,6.0
ACA Group,Pune,5 - 7 ,"Set up and maintain data sources for seamless data connectivity. Document data models, report specifications, and best practices.…",130,5,7,6.0
Limechat,Bengaluru,5 ,Collaborate closely with other teams to ensure an exceptional customer experience and take care of any customer issues.…,120,5,5,5.0
Trane Technologies,Bengaluru,6 - 7 ,Build Stochastic and Machine-learning algorithms that potentially address business problems. At Trane TechnologiesTM and through our businesses including Trane®……,162,6,7,6.5
Mastercard,Gurgaon,2 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……",160,2,2,2.0
innData Analytics,Visakhapatnam,2 - 7 ,Transforming and converting data science prototypes. Identifying differences in data distribution that affects model performance.…,130,2,7,4.5
UST,Thiruvananthapuram,3 - 4 ,Work with stakeholders throughout the organization to identify opportunities for leveraging data from our customers to create models that can generate business……,161,3,4,3.5
Phenom People,Hyderābād,2 - 6 ,Stay up-to-date with industry trends and best practices in data analysis and reporting. Join our team at Phenom People and be a part of revolutionizing the……,157,2,6,4.0
Acies Global,Chennai,9 - 10 ,Business rules processing and data extraction from Data Lake into data streams for business consumption. And the solution you build will have a high impact &……,159,9,10,9.5
Volvo Group,Bengaluru,7 - 9 ,"We are committed to removing the barriers to entry, which is why we ask that even if you feel you may not meet every qualification on the job description,……",156,7,9,8.0
ServiceNow,Hyderābād,4 - 10 ,Production solutions - to build/tune AI solutions based on customer specific data. This platform will evolve to address various data needs from AI practitioners……,162,4,10,7.0
Dun & Bradstreet,Hyderābād,5 - 6 ,Ability to interpret and translate data into meaningful business insights. Utilize latest data science techniques across both supervised and unsupervised……,155,5,6,5.5
E Page Infotech,India,20 - 30 ,"Bachelor’s or higher degree in Data Science, Computer Science, Statistics, or a related field. Stay abreast of industry trends and advancements in Data Science……",161,20,30,25.0
TECBee,Hyderābād,10 - 15 ,"Experience with common data science toolkits. Must have experience – Should have implemented AI, ML solutions for at least 3 years. Experience: 5 to 8 Years.…",158,10,15,12.5
Moving walls India Pvt ltd,Chennai,3 - 4 ,"Bachelor's degree or higher in Mathematics, Statistics, Computer Science, Quantitative Sciences or other related fields.…",121,3,4,3.5
Warner Bros. Discovery,Hyderābād,7 - 10 ,You’ll also help build out an internal data pipeline and develop ways to optimize data technologies to shape our digital data strategy.…,136,7,10,8.5
Business Brio,Calcutta,4 - 8 ,Minimum 18 months experience in machine learning/data science with actual project experience in using various algorithms.…,122,4,8,6.0
Lilly,Bengaluru,4 ,This role will champion our self-service reporting strategy and play a key role in helping us automate and create scalable frameworks for our reporting and……,157,4,4,4.0
Codecraft Technologies Pvt Ltd,Bengaluru,9 - 22 ,"Collaborate with the content team to produce Tech blogs, case studies, etc.,. Graduation/Post-graduation in Computers/Engineering/Statistics from a reputed……",157,9,22,15.5
Moody's,Bengaluru,3 - 7 ,Experience working knowledge in Agile environments and design thinking will be preferred. 3-5 years of total software development experience.…,142,3,7,5.0
Equative Solutions,Remote,6 - 8 ,"❑ Knowledge of current technological trends in the Software development industry, such as OOPs, Multi-Tier Software development, Component Architecture, Web……",158,6,8,7.0
Ace Skill Edutech,Mumbai,6 - 7 ,"Stay up-to-date with relevant regulations and ensure that all data reporting activities align with legal requirements. Job Types: Full-time, Permanent.…",152,6,7,6.5
Imurgence,Jamshedpur,2 - 8 ,"Sound concepts on Big data analytics will be helpful. Machine learning, Deep learning, Fuzzy logic, data visualisation, statistics, Derived data analysis etc.…",159,2,8,5.0
Eightfold.AI,Noida,9 - 10 ,Ability to work cross-functionally & interface with data science experts across Eightfold customer base. Strong knowledge of computer science fundamentals to……,159,9,10,9.5
Datafortune,Pune,3 - 5 ,"Data Integrity:Ensure and maintain data integrity through effective data management practices. With a proven track record of being totally client focused,……",156,3,5,4.0
Mapcom info Solution Limited,Delhi,20 - 30 ,"You’ll have an opportunity to combine a passion for teaching with an enthusiasm for technology and, consequently, drive student learning and establish positive……",161,20,30,25.0
TALCHEMIST,Bengaluru,5 - 8 ,"The senior data scientist will be part of cross diciplinary data science team working on software development projects, typically involving large, complex data……",161,5,8,6.5
Microsoft,Noida,7 - 10 ,"4+ years’ experience in business analytics, data science, software development, data modelling or data engineering work.…",121,7,10,8.5
PineBridge Investments,Mumbai,10 ,We are looking for a Data Scientist with substantial knowledge and experience working with large sets of data as a data engineer or data scientist.…,148,10,10,10.0
HP,Bengaluru,7 - 9 ,"Ability to understand the customer's business problem, need, or opportunity and to design an IS solution that appropriately addresses the business problem, need……",162,7,9,8.0
Ellicium,Pune,2 ,"We enable business transformation through Big Data, Analytics,. Businesses need to make better and faster decisions by analyzing data to stay competitive and……",159,2,2,2.0
CEREBULB INDIA PRIVATE LIMITED,Gāndhīnagar,3 - 10 ,"Knowledge of data historians, such as the PI server, and experience working with industrial data infrastructure. Data science: 1 year (Preferred).…",147,3,10,6.5
Rishabh Gupta Corp Pvt. Ltd.,Mumbai,30 - 40 ,"If you are a passionate and skilled Shopify Storefront Developer with a keen eye for design and a knack for data analysis, we invite you to apply and contribute……",162,30,40,35.0
Eduport Academy Pvt Ltd,Calicut,10 ,"Create various content types (videos, articles, infographics) with relevant tone and style, adhering to the respective style guides.…",133,10,10,10.0
Magna International Inc.,Bengaluru,7 - 10 ,"Present information using data visualization techniques. Your goal will be to help our company analyze trends, close the data loop and and make better decisions……",162,7,10,8.5
"Arch Systems, LLC",Remote,10 ,"*Data Management Oversight:* Oversee data management activities encompassing acquisition, storage, and analysis, maintaining data integrity, and enforcing……",156,10,10,10.0
Valiance Solutions,Noida,5 - 6 ,"Synthesize, transform customer data for integrated business. Using strong data science, data engineering & cloud engineering.…",126,5,6,5.5
Syngenta Group,Karnāl,7 - 10 ,Work with market segment teams to ensure appropriate selection criteria and target product profiles are being applied. Once a year Full body check.…,148,7,10,8.5
PayU,Bengaluru,3 - 9 ,Work closely with PayU internal partners (e.g. Business and Technology teams) to design and implement optimal solutions.…,121,3,9,6.0
HexaQuESt Global - India,Mysore,3 - 8 ,"Experience in textual analysis of logs. Worked on Clustering algorithms , predicting faults. Data Science framework - Python, PyTorch.…",135,3,8,5.5
Srijan Technologies PVT LTD,Gurgaon,2 - 3 ,"Strong architectural design skills building highly scalable microservices and event driven solutions leveraging Cloud, Docker and Kubernetes, with the ability……",160,2,3,2.5
Maruti Suzuki India Ltd,Gurgaon,4 ,Must have minimum of 3 years of industry experience in developing data science models. At least 3 years of industry experience in one or more full-time Data……,158,4,4,4.0
PepsiCo,Hyderābād,10 ,The focus of this role is ensuring the successful implementation of data science solutions that deliver. Excellent problem-solving skills and the ability to……,158,10,10,10.0
I-TECH COMPUTER EDUCATION,Navi Mumbai,25 - 30 ,Data mining or extracting usable data from valuable data sources. Propose solutions and strategies to tackle business challenges.…,130,25,30,27.5
Unilever,Bengaluru,10 ,"In this role, as part of the Future Core formats team within the Science & Technology, Home Care category, you will develop next generation bars using renewable……",162,10,10,10.0
Reserve Bank Information Technology Private Limited (ReBIT),Navi Mumbai,3 - 8 ,Good Experience in Web Scraping or data extraction through Selenium/Scrapy or other frameworks and related libraries (like beautifulsoup).…,139,3,8,5.5
HP,Bengaluru,7 - 10 ,"As a Global Pricing & Data Science Manager, you will play a critical role in driving pricing strategies, leveraging data science techniques, and implementing……",159,7,10,8.5
Affinity Global Advertising,Mumbai,2 - 7 ,Stay up to date with the latest industry developments and technologies related to RTB and floor price optimization. Strong programming skills in Python and SQL.…,161,2,7,4.5
BPrise,Mumbai,3 - 8 ,"Apply expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both……",159,3,8,5.5
Kovai.co,Coimbatore,5 - 7 ,"2 + years of experience in undertaking data science projects. K and with a development center in Coimbatore, India, our engineers have niche skills and in-depth……",162,5,7,6.0
Navit Software Solutions,Hyderābād,4 - 6 ,"The successful candidate will turn data into information, information into insight and insight into business decisions. 4 to 7 years of experience.…",148,4,6,5.0
MSCI Inc,Mumbai,5 - 9 ,"This team stays up to date on the fast-moving technologies and solutions available on LLM, Generative AI, NLP, ML & also plan and implement advanced Data……",155,5,9,7.0
Adobe,Bengaluru,5 - 8 ,"Track record of delivering cloud-scale, data-driven products, and services that are widely adopted with large customer bases.…",126,5,8,6.5
Affine,Bokāro,4 - 8 ,Developing comprehensible analytical solutions to solve business problems using domain knowledge or statistical procedures depending on the requirements of the……,161,4,8,6.0
CADD Centre Thane,Thāne,25 - 40 ,"*Collaboration:* Collaborate with colleagues, industry experts, and management to enhance the quality of education, participate in faculty meetings, and……",154,25,40,32.5
Hookfish,Mumbai,3 - 8 ,Enhancing data collection procedures to include information that is relevant for building analytic systems. Extending company’s data with third party sources of……,162,3,8,5.5
Sattrix Information Security (P) Ltd,Ahmedabad,3 ,The ideal candidate will have at least 2-3 years of experience in data mining and must be proficient in working with CRM systems.…,130,3,3,3.0
Blackbuck,Bengaluru,5 - 8 ,Structure the available data to be able to better mine patterns and derive insights; BlackBuck’s network generates diverse data varying from clickstream……,154,5,8,6.5
JPMorgan Chase & Co,Hyderābād,7 - 8 ,Drive the delivery of business insights to strengthen controls and compliance: Leverage basic data exploration techniques (Descriptive and prescriptive……,153,7,8,7.5
Tech mahindra,Bengaluru,3 - 5 ,"Collaborating with senior data analysts and data scientists, you will contribute to the end to end data science process and work closely with business……",152,3,5,4.0
Prevalent AI,Cochin,6 - 9 ,"Business SMEs and translate that understanding into designs that addresses the requirements, with maximum. This role further involves employing sophisticated……",159,6,9,7.5
The Wise Seeker Services,Bengaluru,5 - 8 ,"At least 3 years of working experience in data science, with a bachelor's degree or above, majoring in quantitative field. From Home (2 days per week).…",152,5,8,6.5
Xplor,Pune,5 - 8 ,"You will coordinate with our data architects, product management, and IT management to ensure that our data pipelines for both internal operations and customer……",161,5,8,6.5
Fibe,Pune,8 - 10 ,"Experience in Python, SQL is a must, familiarity with big data concepts will be an added advantage. Overall 2+ years of relevant work experience in data science……",162,8,10,9.0
Racanaa Energy,Bengaluru,5 - 8 ,"4-5 years of work experience in data science, data engineering AI/ML. Data mining or extracting usable data from valuable data sources.…",136,5,8,6.5
Forbes Advisor,Chennai,2 - 3 ,"Forbes Advisor is a new initiative under the Marketplace umbrella that provides consumers with journalist- and expert-written insights, news, and reviews on all……",162,2,3,2.5
Findability Sciences,Aurangābād,3 - 7 ,"Experience in conceptualizing and developing machine learning solutions in an ML engineer or data scientist role, building, and deploying ML models, or hands-on……",162,3,7,5.0
Genpact,Bengaluru,3 - 9 ,"This role supports Commercial Analytics enablement, which includes understanding of business trends, provide data driven solutions.…",132,3,9,6.0
MetLife,Noida,2 - 4 ,"Proven record of excellent business writing skills including presentations, business requirements, project charters, procedures, and standards along with……",155,2,4,3.0
Talchemist,Bengaluru,55 - 65 ,"Explore data sets and identify data transformation and data quality needs for targeted applications. Hands-on experience in data assessment & visualization,……",158,55,65,60.0
Verticurl,Bengaluru,5 - 7 ,"As a Data Scientist specializing in Customer and Marketing Analytics, you will leverage your extensive experience and expertise to drive data-driven insights……",159,5,7,6.0
Morae Global,Bengaluru,4 - 6 ,Stay up to date with NetSuite updates and industry best practices and share this knowledge with internal clients and the team. Experience with Python is a plus.…,161,4,6,5.0
ZUCOL Group,Jaipur,3 ,"Have to manage meetings on Microsoft Teams and maintain data in google sheets and MS Excel. Technical subject knowledge,researching skills.…",140,3,3,3.0
Sandvine,Bengaluru,4 - 9 ,"As a Data Science SME, you must be an expert on Deep learning, machine learning methodologies. You shall be responsible to solve an identified business problem……",161,4,9,6.5
CTD Techs,Chennai,4 - 8 ,"Notice Period : Immediate joining within 15 days preferred. Must have been Experience in Data Science. Expert in any of OCR tools – Abby Fine reader, Abby Flexi……",162,4,8,6.0
Nisum,Hyderābād,5 - 9 ,Excellent problem-solving skills to perform root cause analysis on internal and external data and processes to answer specific business questions and identify……,160,5,9,7.0
Agenty Analytics,Bahādurgarh,4 - 5 ,"In this role, you will be working with our Enterprise customers to build, host and maintain the Web Data Scraping, OCR, Text extraction and other machine……",155,4,5,4.5
