Name,Location,Salary,Description
Interserve solutions Pvt.Ltd,Mohali,30 - 60 ,*Stay Current:* Keep abreast of SuiteCRM/SugarCRMupdates and industry best practices to ensure our CRM system remains cutting-edge.…
CodiniX,Noida,3 - 7 ,Collaborate with cross-functional teams to identify business challenges and design data-driven solutions. Stay current with industry trends and contribute to……
indeed,Hyderābād,29 - 44 ,"2+ years of software development experience in a combination of developing web applications with modern JavaScript frameworks (React, Angular, Vue), developing……"
Alpha ICT,Pune,4 - 8 ,"To complement and complete our offerings and enable our customers to monetize their investments in IoT, we are looking for experienced data scientists.…"
UST,Cochin,4 ,"Good understanding and Knowledge on the Data concpets and data mapping Design and implement data modeling solutions using relational, dimensional, and NoSQL……"
Acies Global,Chennai,81 - 2 ,"Experience with common data science toolkits. You will discover the information hidden in vast amounts of data, and help clients make.…"
Athena Global Technologies,Hyderābād,5 - 8 ,"Minimum education: Bachelor’s degree in informatics, Computer Science, Information Systems, or something relevant. Understand DDL, DML, PLSQL queries.…"
Factspan,Bengaluru,6 - 8 ,Job Details Job Category: Data Analytics Job Type: Full Time Job Location: Bangalore Designation: Principal Analyst Department: Delivery Experience: 8-10……
Xpheno,Bengaluru,3 - 6 ,Involded in Data science project. Should have exp in stakeholder mang. Exp in python and SQL. Exp in probability and statistical analyses.…
Bi3 Technologies India Pvt Ltd,India,10 - 20 ,➢ Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.…
TransUnion,Pune,7 - 10 ,This role requires that you perform an array of data analysis and other advanced statistical analysis techniques to understand client business environments to……
Deloitte,Hyderābād,4 - 9 ,The team drives the implementation of end-to-end solutions and analysis that provide our clients and leadership with the consumable information and insight they……
Vedita Ventures,Mumbai,9 - 12 , Participation in the design implementations and evaluation of research studies.  Content research executive play a vital role in TT group’s business model……
Gartner,Gurgaon,9 ,Create a strategy and overall vision for where and how data science can further develop scaled insights that increase client value and retention through……
Priceline.com,Mumbai,6 - 8 ,"As a data engineer you will be working on data systems that serve and generate billions of events every single day. Bachelor of Computer Science, Engineering.…"
Databricks,Bengaluru,6 - 10 ,"Collaboration: The role that the Data Engineer plays is collaborative and, as such, works with data analysts, data scientists, and other data consumers within……"
Travitons Technologies,Pune,3 - 8 ,"To be successful as a tableau developer, you should have a broad understanding of the business technology landscape, the ability to design reports, and strong……"
Mobio Solutions Pvt. Ltd.,Remote,11 ,Stay up-to-date with industry best practices and emerging trends in ETL and data warehousing. Perform data analysis to identify and address data quality issues.…
Episeio business solutions,Bengaluru,30 - 35 ,"Developing statistical, machine learning, or mathematical solutions to rigorously test and optimize automated business solutions. Your first 30-60-90 days plan:…"
QRight Solutions,Chennai,25 ,Align the data products with the business goals. Ensure data quality and integrity. Interpret and analyze data problems. Visualize data and create reports.…
Kanini Software Solutions,Chennai,5 - 6 ,"As a Data Scientist, you will be developing and deploying scalable and reproducible data science models for solving a variety of business problems.…"
Hitachi Solutions,Bengaluru,9 - 10 ,Senior Data Engineers are responsible for delivering high quality modern data solutions through collaboration with our team and our customers.…
CoffeeBeans Consulting,Bengaluru,5 - 8 ,We also offer data-driven solutions and AI-based products for businesses operating in a wide range of product categories and service domains.…
NielsenIQ,Mumbai,6 - 8 ,1 to 3 years of experience. Recharge and revitalize with help of wellness plans made for you and your family. Ensuring service availability and meeting SLAs.…
Airtel India,Gurgaon,4 - 6 ,Develop an in-depth understanding of user journeys on Airtel Digital Channels and generate data driven insights & recommendations to help product business in……
Porter,Bengaluru,8 ,Deliver end-to-end data science solutions on business problems identified. Partner with senior team members to assess customer needs and define business……
Orage Technologies,Noida,60 - 1 ,"As a key member of our cybersecurity team, you will perform thorough penetration testing, focusing on Burp Suite and data manipulation techniques and provide……"
XL Catlin,Gurgaon,3 - 4 ,"As we develop a Global Claims data and analytics strategy that moves us toward a greater focus on the use of data and data-driven insights, we are seeking a……"
Course5,Bengaluru,4 - 5 ,"Under our Course5 Intelligence suites that combine analytics, digital, and research solutions to provide. Stay up to date with the latest advancements in data……"
SS Supply Chain Solutions,Bengaluru,10 - 35 ,Present information using data visualization techniques. Able to understand various data structures and common methods in data transformation.…
Yara,Bengaluru,5 - 9 ,"Familiarity with data warehousing, data marts, and data modelling concepts. 1-2 years’ experience in working with databases, particularly PostgreSQL, MongoDB,……"
Nimas College,Bārāsat,80 - 1 ,"BTECH , MTECH, MCA ,MSC IN DATA SCIENCE. Job Types: Part-time, Permanent. Total work: 1 year (Preferred).…"
Mastercard,Pune,2 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……"
Jet2 Travel Technologies,Pune,5 - 10 ,Develop and maintain data pipelines to ensure high quality data availability for key data science and analytics projects for Jet2 business.…
Maersk,Pune,6 - 8 ,Conducting customer/user satisfaction call-backs/surveys as agreed including deep dive analysis on Dissatisfied survey responses.…
Epsilon,Bengaluru,2 - 3 ,"She / He also must have excellent verbal and written communication skills and be comfortable working in an entrepreneurial, ‘startup’ environment within a……"
CDSL,Mumbai,2 - 8 ,"Exposure of working with Market Infrastructure Institution (MII) or large Depository Participant/stock broker, business critical financial market institution……"
crutz leela,Noida,20 - 25 ," Develop best practices for data science, considering the full analytical lifecycle.  Manage and guide data science and data engineering elements of AI……"
eScript,Ahmedabad,6 - 8 ,"As an AI Specialist, you will be responsible for designing, developing, and implementing an advanced system capable of reading PDF documents and converting them……"
TEKSUN,Ahmedabad,3 - 6 ,Exploring and visualizing data to gain an understanding of it. To study and convert data science prototypes. Defining data augmentation to increase the existing……
Arista Networks,Pune,5 - 6 ,"Our switches and routers are the backbone of large data centres that host Microsoft Azure, Google Cloud, Facebook etc. Knowledge of Python or R and SQL.…"
"Frequence, Inc.",Pune,4 - 8 ,We don't just want to create intuitive AdTech tools—we want to foster a culture of openness and inclusivity that encourages our employees to think bigger and……
CogniSure,Bengaluru,3 - 7 ,"At CogniSure, you’ll collaborate with accomplished, motivated colleagues and innovative clients alike as we work to bring cutting-edge data science……"
Sorigin Group,Pune,4 - 8 ,Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop). Identify valuable data sources and automate collection processes.…
Maruti Suzuki India Ltd,Bengaluru,4 ,Essential:  Must have minimum of 3 years of industry experience in developing data science models.  At least 3 years of industry experience in one or more……
FiftyFive Technologies,Jaipur,7 - 10 ,This role is crucial for the development of high-quality software solutions focusing on Python programming with an emphasis on FastAPI for creating efficient……
Novo Nordisk,Bengaluru,6 - 7 ,"Further, develop, maintain, test, and evaluate data solutions within organizations what the data scientists and the data stewards have defined.…"
IntegriChain,Pune,6 - 10 ,"Define, document, and maintain a data dictionary including: data definitions, data sources, business meaning and usage of information.…"
String Bio,Bengaluru,5 - 8 ,Propose solutions and strategies to data architecture. Presenting information using data visualization techniques. Analytical mind and business acumen.…
Mango Sciences,Bengaluru,5 - 8 ,Up to date with recent developments in deep/machine learning and are familiar with current trends in the wider data science communi.…
MathCo,Bengaluru,5 - 7 ,"For those with an undergraduate degree in non-technical fields, relevant prior work experience and technical aptitude will be important.…"
ACA Group,Pune,5 - 7 ,"Set up and maintain data sources for seamless data connectivity. Document data models, report specifications, and best practices.…"
Limechat,Bengaluru,5 ,Collaborate closely with other teams to ensure an exceptional customer experience and take care of any customer issues.…
Trane Technologies,Bengaluru,6 - 7 ,Build Stochastic and Machine-learning algorithms that potentially address business problems. At Trane TechnologiesTM and through our businesses including Trane®……
Mastercard,Gurgaon,2 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……"
innData Analytics,Visakhapatnam,2 - 7 ,Transforming and converting data science prototypes. Identifying differences in data distribution that affects model performance.…
UST,Thiruvananthapuram,3 - 4 ,Work with stakeholders throughout the organization to identify opportunities for leveraging data from our customers to create models that can generate business……
Phenom People,Hyderābād,2 - 6 ,Stay up-to-date with industry trends and best practices in data analysis and reporting. Join our team at Phenom People and be a part of revolutionizing the……
Acies Global,Chennai,9 - 10 ,Business rules processing and data extraction from Data Lake into data streams for business consumption. And the solution you build will have a high impact &……
Volvo Group,Bengaluru,7 - 9 ,"We are committed to removing the barriers to entry, which is why we ask that even if you feel you may not meet every qualification on the job description,……"
ServiceNow,Hyderābād,4 - 10 ,Production solutions - to build/tune AI solutions based on customer specific data. This platform will evolve to address various data needs from AI practitioners……
Dun & Bradstreet,Hyderābād,5 - 6 ,Ability to interpret and translate data into meaningful business insights. Utilize latest data science techniques across both supervised and unsupervised……
E Page Infotech,India,20 - 30 ,"Bachelor’s or higher degree in Data Science, Computer Science, Statistics, or a related field. Stay abreast of industry trends and advancements in Data Science……"
TECBee,Hyderābād,10 - 15 ,"Experience with common data science toolkits. Must have experience – Should have implemented AI, ML solutions for at least 3 years. Experience: 5 to 8 Years.…"
Moving walls India Pvt ltd,Chennai,3 - 4 ,"Bachelor's degree or higher in Mathematics, Statistics, Computer Science, Quantitative Sciences or other related fields.…"
Warner Bros. Discovery,Hyderābād,7 - 10 ,You’ll also help build out an internal data pipeline and develop ways to optimize data technologies to shape our digital data strategy.…
Business Brio,Calcutta,4 - 8 ,Minimum 18 months experience in machine learning/data science with actual project experience in using various algorithms.…
Lilly,Bengaluru,4 ,This role will champion our self-service reporting strategy and play a key role in helping us automate and create scalable frameworks for our reporting and……
Codecraft Technologies Pvt Ltd,Bengaluru,9 - 22 ,"Collaborate with the content team to produce Tech blogs, case studies, etc.,. Graduation/Post-graduation in Computers/Engineering/Statistics from a reputed……"
Moody's,Bengaluru,3 - 7 ,Experience working knowledge in Agile environments and design thinking will be preferred. 3-5 years of total software development experience.…
Equative Solutions,Remote,6 - 8 ,"❑ Knowledge of current technological trends in the Software development industry, such as OOPs, Multi-Tier Software development, Component Architecture, Web……"
Ace Skill Edutech,Mumbai,6 - 7 ,"Stay up-to-date with relevant regulations and ensure that all data reporting activities align with legal requirements. Job Types: Full-time, Permanent.…"
Imurgence,Jamshedpur,2 - 8 ,"Sound concepts on Big data analytics will be helpful. Machine learning, Deep learning, Fuzzy logic, data visualisation, statistics, Derived data analysis etc.…"
Eightfold.AI,Noida,9 - 10 ,Ability to work cross-functionally & interface with data science experts across Eightfold customer base. Strong knowledge of computer science fundamentals to……
Datafortune,Pune,3 - 5 ,"Data Integrity:Ensure and maintain data integrity through effective data management practices. With a proven track record of being totally client focused,……"
Mapcom info Solution Limited,Delhi,20 - 30 ,"You’ll have an opportunity to combine a passion for teaching with an enthusiasm for technology and, consequently, drive student learning and establish positive……"
TALCHEMIST,Bengaluru,5 - 8 ,"The senior data scientist will be part of cross diciplinary data science team working on software development projects, typically involving large, complex data……"
Microsoft,Noida,7 - 10 ,"4+ years’ experience in business analytics, data science, software development, data modelling or data engineering work.…"
PineBridge Investments,Mumbai,10 ,We are looking for a Data Scientist with substantial knowledge and experience working with large sets of data as a data engineer or data scientist.…
HP,Bengaluru,7 - 9 ,"Ability to understand the customer's business problem, need, or opportunity and to design an IS solution that appropriately addresses the business problem, need……"
Ellicium,Pune,2 ,"We enable business transformation through Big Data, Analytics,. Businesses need to make better and faster decisions by analyzing data to stay competitive and……"
CEREBULB INDIA PRIVATE LIMITED,Gāndhīnagar,3 - 10 ,"Knowledge of data historians, such as the PI server, and experience working with industrial data infrastructure. Data science: 1 year (Preferred).…"
Rishabh Gupta Corp Pvt. Ltd.,Mumbai,30 - 40 ,"If you are a passionate and skilled Shopify Storefront Developer with a keen eye for design and a knack for data analysis, we invite you to apply and contribute……"
Eduport Academy Pvt Ltd,Calicut,10 ,"Create various content types (videos, articles, infographics) with relevant tone and style, adhering to the respective style guides.…"
Magna International Inc.,Bengaluru,7 - 10 ,"Present information using data visualization techniques. Your goal will be to help our company analyze trends, close the data loop and and make better decisions……"
"Arch Systems, LLC",Remote,10 ,"*Data Management Oversight:* Oversee data management activities encompassing acquisition, storage, and analysis, maintaining data integrity, and enforcing……"
Valiance Solutions,Noida,5 - 6 ,"Synthesize, transform customer data for integrated business. Using strong data science, data engineering & cloud engineering.…"
Syngenta Group,Karnāl,7 - 10 ,Work with market segment teams to ensure appropriate selection criteria and target product profiles are being applied. Once a year Full body check.…
PayU,Bengaluru,3 - 9 ,Work closely with PayU internal partners (e.g. Business and Technology teams) to design and implement optimal solutions.…
HexaQuESt Global - India,Mysore,3 - 8 ,"Experience in textual analysis of logs. Worked on Clustering algorithms , predicting faults. Data Science framework - Python, PyTorch.…"
Srijan Technologies PVT LTD,Gurgaon,2 - 3 ,"Strong architectural design skills building highly scalable microservices and event driven solutions leveraging Cloud, Docker and Kubernetes, with the ability……"
Maruti Suzuki India Ltd,Gurgaon,4 ,Must have minimum of 3 years of industry experience in developing data science models. At least 3 years of industry experience in one or more full-time Data……
PepsiCo,Hyderābād,10 ,The focus of this role is ensuring the successful implementation of data science solutions that deliver. Excellent problem-solving skills and the ability to……
I-TECH COMPUTER EDUCATION,Navi Mumbai,25 - 30 ,Data mining or extracting usable data from valuable data sources. Propose solutions and strategies to tackle business challenges.…
Unilever,Bengaluru,10 ,"In this role, as part of the Future Core formats team within the Science & Technology, Home Care category, you will develop next generation bars using renewable……"
Reserve Bank Information Technology Private Limited (ReBIT),Navi Mumbai,3 - 8 ,Good Experience in Web Scraping or data extraction through Selenium/Scrapy or other frameworks and related libraries (like beautifulsoup).…
HP,Bengaluru,7 - 10 ,"As a Global Pricing & Data Science Manager, you will play a critical role in driving pricing strategies, leveraging data science techniques, and implementing……"
Affinity Global Advertising,Mumbai,2 - 7 ,Stay up to date with the latest industry developments and technologies related to RTB and floor price optimization. Strong programming skills in Python and SQL.…
BPrise,Mumbai,3 - 8 ,"Apply expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both……"
Kovai.co,Coimbatore,5 - 7 ,"2 + years of experience in undertaking data science projects. K and with a development center in Coimbatore, India, our engineers have niche skills and in-depth……"
Navit Software Solutions,Hyderābād,4 - 6 ,"The successful candidate will turn data into information, information into insight and insight into business decisions. 4 to 7 years of experience.…"
MSCI Inc,Mumbai,5 - 9 ,"This team stays up to date on the fast-moving technologies and solutions available on LLM, Generative AI, NLP, ML & also plan and implement advanced Data……"
Adobe,Bengaluru,5 - 8 ,"Track record of delivering cloud-scale, data-driven products, and services that are widely adopted with large customer bases.…"
Affine,Bokāro,4 - 8 ,Developing comprehensible analytical solutions to solve business problems using domain knowledge or statistical procedures depending on the requirements of the……
CADD Centre Thane,Thāne,25 - 40 ,"*Collaboration:* Collaborate with colleagues, industry experts, and management to enhance the quality of education, participate in faculty meetings, and……"
Hookfish,Mumbai,3 - 8 ,Enhancing data collection procedures to include information that is relevant for building analytic systems. Extending company’s data with third party sources of……
Sattrix Information Security (P) Ltd,Ahmedabad,3 ,The ideal candidate will have at least 2-3 years of experience in data mining and must be proficient in working with CRM systems.…
Blackbuck,Bengaluru,5 - 8 ,Structure the available data to be able to better mine patterns and derive insights; BlackBuck’s network generates diverse data varying from clickstream……
JPMorgan Chase & Co,Hyderābād,7 - 8 ,Drive the delivery of business insights to strengthen controls and compliance: Leverage basic data exploration techniques (Descriptive and prescriptive……
Tech mahindra,Bengaluru,3 - 5 ,"Collaborating with senior data analysts and data scientists, you will contribute to the end to end data science process and work closely with business……"
Prevalent AI,Cochin,6 - 9 ,"Business SMEs and translate that understanding into designs that addresses the requirements, with maximum. This role further involves employing sophisticated……"
The Wise Seeker Services,Bengaluru,5 - 8 ,"At least 3 years of working experience in data science, with a bachelor's degree or above, majoring in quantitative field. From Home (2 days per week).…"
Xplor,Pune,5 - 8 ,"You will coordinate with our data architects, product management, and IT management to ensure that our data pipelines for both internal operations and customer……"
Fibe,Pune,8 - 10 ,"Experience in Python, SQL is a must, familiarity with big data concepts will be an added advantage. Overall 2+ years of relevant work experience in data science……"
Racanaa Energy,Bengaluru,5 - 8 ,"4-5 years of work experience in data science, data engineering AI/ML. Data mining or extracting usable data from valuable data sources.…"
Forbes Advisor,Chennai,2 - 3 ,"Forbes Advisor is a new initiative under the Marketplace umbrella that provides consumers with journalist- and expert-written insights, news, and reviews on all……"
Findability Sciences,Aurangābād,3 - 7 ,"Experience in conceptualizing and developing machine learning solutions in an ML engineer or data scientist role, building, and deploying ML models, or hands-on……"
Genpact,Bengaluru,3 - 9 ,"This role supports Commercial Analytics enablement, which includes understanding of business trends, provide data driven solutions.…"
MetLife,Noida,2 - 4 ,"Proven record of excellent business writing skills including presentations, business requirements, project charters, procedures, and standards along with……"
Talchemist,Bengaluru,55 - 65 ,"Explore data sets and identify data transformation and data quality needs for targeted applications. Hands-on experience in data assessment & visualization,……"
Verticurl,Bengaluru,5 - 7 ,"As a Data Scientist specializing in Customer and Marketing Analytics, you will leverage your extensive experience and expertise to drive data-driven insights……"
Morae Global,Bengaluru,4 - 6 ,Stay up to date with NetSuite updates and industry best practices and share this knowledge with internal clients and the team. Experience with Python is a plus.…
ZUCOL Group,Jaipur,3 ,"Have to manage meetings on Microsoft Teams and maintain data in google sheets and MS Excel. Technical subject knowledge,researching skills.…"
Sandvine,Bengaluru,4 - 9 ,"As a Data Science SME, you must be an expert on Deep learning, machine learning methodologies. You shall be responsible to solve an identified business problem……"
CTD Techs,Chennai,4 - 8 ,"Notice Period : Immediate joining within 15 days preferred. Must have been Experience in Data Science. Expert in any of OCR tools – Abby Fine reader, Abby Flexi……"
Nisum,Hyderābād,5 - 9 ,Excellent problem-solving skills to perform root cause analysis on internal and external data and processes to answer specific business questions and identify……
Agenty Analytics,Bahādurgarh,4 - 5 ,"In this role, you will be working with our Enterprise customers to build, host and maintain the Web Data Scraping, OCR, Text extraction and other machine……"
Haleon,Bengaluru,5 - 8 ,"This is very hands-on development role which includes developing & delivering code through from origin to production, plus working in partnership with 3rd party……"
AIEnterprise,Bengaluru,5 - 8 ,"The ideal person will understand how to match our extensive service capabilities to prospective client needs. Research, design and prototype robust and scalable……"
IBM,Pune,5 - 10 ,This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date.…
KPMG,Bengaluru,5 - 7 ,"As a Pyspark Data Engineer, you will be responsible for designing, implementing, and maintaining data pipelines using Pyspark and other Big Data technologies.…"
FODUU - Design & Development Company,Indore,4 - 8 ,"Data science and machine learning stack. The successful candidate will be responsible for developing and implementing machine learning models and algorithms,……"
Tata Insights and Quants,Jamshedpur,2 - 5 ,"In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance……"
SymphonyAI,Bengaluru,7 - 10 ,"Experience with deploying solutions on cloud infrastructure (Azure, AWS, Google) will be an. 5+ years’ experience in AI / Machine Learning in an organization.…"
SIGMOID,Bengaluru,8 - 9 ,Build scalable client engagement level processes for faster turnaround & higher accuracy. Experience designing data science solutions to business problems.…
qtech,Mumbai,2 - 7 ,"Experience with integration of data from multiple data sources. We are looking for a Big Data Engineer that will work on the collecting, storing, processing,……"
NielsenIQ,Vadodara,6 - 7 ,Is Technically proficient and at the same time has an understanding on business implications and client understanding.…
Facile Services,Pune,5 - 10 ,Should have Basic knowledge of Python / Spark – Scala (Must have 1 year Experience OR Self Learnt with several assignments).…
Razor Group GmbH,Gurgaon,2 - 8 ,You design and implement the full Data Science life-cycle: work closely with internal and external stakeholders to build instrumentation and define dimensional……
"Medpace, Inc.",Thāne,2 - 8 ,Bachelor’s degree in life science/ pharmacy/ health related field with strong attention to detail and working knowledge of Excel and Word;…
HyreFox Consultants,Jaipur,8 - 12 ,"Articulating business questions and using mathematical techniques to arrive at an answer using available data. Work with large, complex data sets.…"
Thoucentric,Bengaluru,8 ,"Building capabilities that address a market need, basis our ongoing research efforts. We are working closely with marquee names in the global consumer &……"
Bytesfarms Technologies,Indore,4 - 16 ,"As a Machine Learning Engineer at *BytesFarms Technologies*, you will have a pivotal role in designing, developing, and deploying machine learning models and……"
Criteo,Gurgaon,9 - 10 ,"Your work experience: 2+ years in an analytical role in Technology, Consulting or Financial business; bonus point if you have a good understanding of internet……"
Nathan Research,Chennai,5 - 9 ,"Keeping track of the current state of data models, DB structures, data dictionaries business/user requests, prioritization of needs for new data entities,……"
Smart Ship,Pune,3 - 8 ,"In this role, you will have an opportunity to work with vast amounts of meaningful data, made accessible through best-in-class analytical and Business……"
Taiyo.Ai,Remote,5 - 7 ,"Initiative and Innovation: Proactive approach to identifying issues and presenting solutions, with an entrepreneurial spirit that thrives in creating innovative……"
FIS Global,Bengaluru,6 - 10 ,Proficiency in solutions design and requirements. Knowledge of financial services industry. Use quantitative and statistical methods to extract data and……
Irdeto,New Delhi,6 - 8 ,"Work with enterprise architecture, data scientists, and data warehousing teams to set data strategy that supports Irdeto’s corporate strategy and objectives.…"
Foraysoft,Gurgaon,5 - 8 ,Techno functional experience working with technical team (data engineering / data science) and the business (functional) teams.…
Roland Berger,Mumbai,6 - 9 ,"Further, you will apply your understanding of analytical methodologies and the related infrastructure requirements to continuously collaborate with our team of……"
NeoQuant Solutions Pvt Ltd,Mumbai,4 - 16 ,"Expertise in working with data storage solutions like databases (SQL and NoSQL), data lakes, and cloud-based storage. Leadership and team management experience.…"
